timesteps,reward,best_reward
40000,228.95,565.50
80000,250.78,647.20
120000,221.09,483.60
160000,247.43,563.80
200000,233.98,412.50
240000,256.87,569.20
280000,235.10,980.30
320000,242.16,523.90
360000,233.87,980.60
400000,264.63,568.70
440000,242.48,432.50
480000,169.10,252.20
520000,251.94,523.30
560000,230.27,439.80
600000,222.04,414.20
640000,244.77,522.10
680000,244.11,570.90
720000,214.39,415.90
760000,112.17,330.50
800000,277.21,807.10
840000,247.85,484.70
880000,228.34,724.70
920000,213.64,522.70
960000,273.32,725.80
1000000,233.99,590.40
1040000,239.25,590.20
1080000,192.87,416.90
1120000,239.11,982.50
1160000,212.40,442.20
1200000,241.08,589.20
1240000,284.12,981.60
1280000,254.17,484.20
1320000,221.66,443.70
1360000,249.38,590.60
1400000,189.25,448.90
1440000,294.97,982.80
1480000,249.42,591.60
1520000,259.60,524.30
1560000,233.70,483.40
1600000,246.53,590.90
1640000,226.62,485.40
1680000,272.14,726.30
1720000,200.15,415.20
1760000,244.13,590.20
1800000,245.34,521.30
1840000,237.95,981.00
1880000,267.42,571.20
1920000,225.61,414.10
1960000,224.78,814.50
2000000,211.67,591.30
2040000,206.55,726.00
2080000,261.07,726.10
2120000,253.31,571.90
2160000,235.06,447.80
2200000,208.57,412.80
2240000,228.25,528.20
2280000,255.16,520.20
2320000,280.01,486.10
2360000,239.22,726.30
2400000,262.37,590.00
2440000,170.98,407.20
2480000,301.53,980.40
2520000,280.42,982.90
2560000,233.44,570.10
2600000,267.17,483.60
2640000,256.86,486.70
2680000,254.59,486.50
2720000,243.37,439.70
2760000,255.26,487.60
2800000,239.93,444.80
2840000,289.83,723.70
2880000,251.65,981.50
2920000,234.16,439.80
2960000,275.49,524.10
3000000,210.84,486.40
3040000,268.65,568.20
3080000,256.89,484.00
3120000,250.20,487.00
3160000,293.82,806.00
3200000,249.27,571.40
3240000,273.11,524.00
3280000,239.24,438.70
3320000,258.49,443.50
3360000,219.76,417.60
3400000,296.66,808.60
3440000,265.84,723.80
3480000,280.84,981.60
3520000,248.31,443.20
3560000,237.37,440.70
3600000,267.08,590.90
3640000,286.91,572.40
3680000,287.48,982.10
3720000,261.75,590.90
3760000,249.34,575.80
3800000,253.69,523.80
3840000,251.03,486.00
3880000,295.37,982.00
3920000,239.86,523.80
3960000,287.16,596.30
4000000,295.17,590.70
4040000,280.62,590.90
4080000,280.75,590.00
4120000,283.62,982.10
4160000,252.50,486.10
4200000,288.66,810.40
4240000,270.25,591.10
4280000,284.93,596.00
4320000,300.26,724.80
4360000,277.85,572.20
4400000,299.95,590.90
4440000,320.15,727.20
4480000,299.62,590.70
4520000,285.35,571.30
4560000,271.24,524.40
4600000,270.45,570.10
4640000,301.61,726.10
4680000,275.41,485.30
4720000,284.58,807.80
4760000,284.39,572.00
4800000,188.73,415.20
4840000,313.76,589.40
4880000,295.96,720.70
4920000,275.51,486.90
4960000,283.63,589.90
5000000,253.86,414.40
5040000,296.09,809.80
5080000,314.64,727.80
5120000,297.62,647.30
5160000,315.40,982.10
5200000,307.43,569.00
5240000,324.63,982.10
5280000,319.59,981.60
5320000,353.36,590.00
5360000,293.48,523.30
5400000,278.69,726.60
5440000,324.52,590.90
5480000,342.06,572.00
5520000,323.65,527.00
5560000,337.62,591.40
5600000,348.03,590.70
5640000,357.90,590.80
5680000,248.87,647.20
5720000,407.74,810.90
5760000,370.83,572.50
5800000,311.97,572.00
5840000,308.82,591.40
5880000,400.84,591.50
5920000,301.66,590.90
5960000,268.07,569.20
6000000,432.28,808.80
6040000,403.91,727.70
6080000,434.06,810.00
6120000,421.75,809.90
6160000,422.26,980.10
