timesteps,reward,best_reward
20000,137.41,407.80
40000,151.53,481.70
60000,125.12,316.30
80000,139.10,436.00
100000,134.66,411.30
120000,156.38,982.00
140000,162.95,442.00
160000,151.63,528.80
180000,154.80,415.00
200000,167.94,725.70
220000,176.91,480.60
240000,170.14,416.00
260000,166.20,591.00
280000,173.66,566.50
300000,187.09,981.50
320000,190.97,572.60
340000,197.64,572.20
360000,225.58,524.30
380000,220.74,808.70
400000,224.00,809.70
420000,224.53,591.00
440000,239.73,591.60
460000,234.79,727.20
480000,229.74,727.60
500000,234.93,571.20
520000,261.04,813.70
540000,264.68,591.50
560000,254.58,590.30
580000,272.50,808.70
600000,247.75,724.60
620000,259.40,524.50
640000,249.30,591.40
660000,285.44,982.80
680000,279.39,977.90
700000,253.87,982.00
720000,250.90,590.90
740000,280.82,807.70
760000,267.89,591.20
780000,271.24,621.90
800000,275.39,726.50
820000,269.14,726.60
840000,292.21,808.40
860000,294.52,980.40
880000,302.67,983.50
900000,284.81,867.70
920000,288.28,982.90
940000,263.71,647.20
960000,280.86,726.30
980000,265.53,595.90
1000000,284.88,788.60
1020000,255.42,724.10
1040000,275.89,734.60
1060000,282.34,982.80
1080000,260.05,803.20
1100000,265.20,980.00
1120000,244.70,591.00
1140000,251.62,722.80
1160000,248.59,980.40
1180000,254.24,719.80
1200000,256.23,591.40
1220000,264.45,982.70
1240000,265.67,982.60
1260000,253.74,802.80
1280000,244.21,978.20
1300000,276.77,724.70
1320000,283.15,725.20
1340000,274.93,981.40
1360000,268.26,726.70
1380000,255.84,981.20
1400000,260.07,736.10
1420000,283.41,787.90
1440000,271.20,978.80
1460000,268.00,981.00
1480000,299.97,982.40
1500000,281.86,980.30
1520000,253.40,982.00
1540000,270.77,806.60
1560000,260.78,722.50
1580000,282.68,807.30
1600000,288.18,727.10
1620000,280.12,982.70
1640000,276.05,982.00
1660000,262.77,727.60
1680000,308.55,984.10
1700000,270.46,727.30
1720000,285.24,982.10
1740000,269.12,979.40
1760000,286.67,982.80
1780000,287.30,984.10
1800000,283.04,983.10
1820000,289.53,983.10
1840000,263.30,808.20
1860000,283.88,981.00
1880000,271.21,980.10
1900000,282.04,727.10
1920000,281.83,983.50
1940000,279.01,983.80
1960000,313.49,983.40
1980000,303.28,984.20
2000000,293.69,982.10
2020000,269.41,982.00
2040000,290.90,983.30
2060000,267.52,727.20
2080000,282.77,982.80
2100000,282.51,727.20
2120000,299.94,983.90
2140000,305.76,983.70
2160000,284.03,983.50
2180000,287.53,808.70
2200000,290.99,983.40
2220000,287.22,984.10
2240000,290.78,728.60
2260000,293.48,982.90
2280000,284.60,982.10
2300000,290.66,984.00
2320000,281.00,983.40
2340000,282.76,983.80
2360000,275.12,983.00
2380000,285.85,983.10
2400000,275.67,868.70
2420000,271.67,725.90
2440000,286.33,725.90
2460000,297.63,727.80
2480000,306.77,984.00
2500000,288.88,984.10
2520000,316.76,983.90
2540000,309.29,984.00
2560000,311.51,984.00
2580000,333.00,983.80
2600000,325.10,983.60
2620000,339.59,984.20
2640000,326.55,984.50
2660000,320.42,983.70
2680000,316.18,983.90
2700000,305.47,984.10
2720000,342.63,984.00
2740000,343.46,984.30
2760000,327.21,984.60
2780000,337.45,984.10
2800000,332.03,983.80
2820000,332.81,984.80
2840000,312.74,983.80
2860000,320.61,983.70
2880000,308.35,983.10
2900000,334.06,984.30
2920000,353.81,984.10
2940000,325.90,983.70
2960000,322.13,984.00
2980000,329.46,984.00
3000000,348.01,984.40
3020000,337.79,984.20
3040000,352.10,983.70
3060000,325.22,982.90
3080000,354.71,984.60
3100000,338.23,983.80
3120000,335.96,984.10
3140000,323.47,984.40
3160000,311.03,983.80
3180000,339.62,983.90
3200000,345.97,984.30
3220000,340.77,983.70
3240000,352.67,984.10
3260000,343.78,984.40
3280000,344.70,984.50
3300000,370.48,983.60
3320000,357.79,984.30
3340000,318.11,983.90
3360000,351.94,984.20
3380000,343.19,984.20
3400000,312.71,984.10
3420000,339.74,983.80
3440000,325.56,984.50
3460000,337.98,984.80
3480000,330.43,984.10
3500000,347.43,984.60
3520000,372.67,984.80
3540000,374.35,984.60
3560000,317.93,984.50
3580000,353.86,984.30
3600000,380.01,984.40
3620000,339.81,984.40
3640000,326.25,984.00
3660000,358.25,984.80
3680000,343.52,983.80
3700000,358.64,984.90
3720000,327.17,984.50
3740000,340.63,984.70
3760000,356.12,984.80
3780000,370.29,984.80
3800000,385.33,984.90
3820000,369.71,984.70
3840000,351.73,984.80
3860000,346.45,984.80
3880000,326.76,984.40
3900000,374.21,984.50
3920000,347.82,984.40
3940000,358.58,984.40
3960000,344.85,984.30
3980000,374.18,984.30
4000000,303.49,666.90
4020000,283.62,983.70
4040000,341.06,983.80
4060000,350.98,984.50
4080000,374.73,984.90
4100000,381.10,984.60
4120000,374.94,985.00
4140000,346.46,984.50
4160000,357.20,984.40
4180000,365.88,985.00
4200000,366.41,983.90
4220000,396.67,984.80
4240000,351.15,984.80
4260000,377.05,985.00
4280000,362.46,984.60
4300000,361.82,984.90
4320000,377.73,985.00
4340000,368.19,984.80
4360000,350.68,984.30
4380000,348.71,985.00
4400000,346.72,984.80
4420000,392.82,984.80
4440000,377.01,984.40
4460000,422.24,984.30
4480000,368.90,984.20
4500000,355.50,984.00
4520000,420.55,984.80
4540000,406.53,984.60
4560000,400.41,984.50
4580000,355.63,984.90
4600000,400.45,984.10
4620000,394.63,984.60
4640000,400.85,984.30
4660000,359.84,984.20
4680000,382.94,984.70
4700000,355.96,984.90
4720000,409.90,984.50
4740000,368.77,984.40
4760000,365.33,984.70
4780000,372.91,984.70
4800000,360.73,984.10
4820000,364.66,984.00
4840000,386.37,984.80
4860000,373.58,984.60
4880000,373.54,984.30
4900000,424.83,984.40
4920000,363.65,984.40
4940000,404.71,984.50
4960000,417.22,984.80
4980000,405.36,984.50
5000000,369.65,984.80
5020000,393.03,984.70
5040000,418.58,984.90
5060000,387.14,985.00
5080000,387.66,984.80
5100000,384.33,984.80
5120000,399.20,984.90
5140000,388.02,984.90
5160000,414.74,984.80
5180000,371.17,985.10
5200000,389.99,984.90
5220000,365.89,984.70
5240000,391.30,984.90
5260000,408.79,984.80
5280000,403.92,984.90
5300000,412.74,984.80
5320000,411.82,984.80
5340000,422.35,984.70
5360000,437.37,985.00
5380000,385.38,984.90
5400000,418.76,984.80
5420000,440.78,984.90
5440000,425.92,984.90
5460000,416.16,984.60
5480000,368.99,984.70
5500000,338.07,984.90
5520000,341.26,984.20
5540000,355.17,984.40
5560000,404.66,984.80
5580000,418.97,984.60
5600000,389.20,984.60
5620000,418.46,984.80
5640000,419.64,984.50
5660000,428.18,984.90
5680000,444.59,984.90
5700000,418.45,985.10
5720000,436.22,985.00
5740000,450.24,985.10
5760000,499.94,985.00
5780000,433.85,984.80
5800000,435.21,985.10
5820000,430.42,984.70
5840000,403.47,984.70
5860000,387.41,985.00
5880000,405.94,985.10
5900000,397.53,985.10
5920000,428.04,985.20
5940000,430.48,985.10
5960000,479.06,985.00
5980000,459.29,985.20
6000000,514.79,985.10
6020000,415.10,984.70
6040000,389.40,984.80
6060000,420.51,985.10
6080000,424.87,984.90
